"","state","county","total_population_20","incarcerated_20","total_population_10","incarcerated_10","total_population_00","incarcerated_00","fips","percent_incarcerated_20","percent_incarcerated_10","percent_incarcerated_00"
"360","NE","Hitchcock County",2616,7,2908,4,3111,7,31087,0.267584097859327,0.137551581843191,0.225008036001286
"361","NE","Holt County",10127,3,10435,4,11551,6,31089,0.0296237780191567,0.0383325347388596,0.0519435546705913
"362","NE","Hooker County",711,0,736,0,783,0,31091,0,0,0
"363","NE","Howard County",6475,0,6274,0,6567,0,31093,0,0,0
"364","NE","Jefferson County",7240,7,7547,8,8333,10,31095,0.0966850828729282,0.106002385053664,0.120004800192008
"365","NE","Johnson County",5290,1031,5217,904,4488,0,31097,19.4896030245747,17.3279662641365,0
"366","NE","Kearney County",6688,2,6489,5,6882,4,31099,0.0299043062200957,0.0770534751117275,0.0581226387678001
"367","NE","Keith County",8335,24,8368,8,8875,15,31101,0.287942411517696,0.0956022944550669,0.169014084507042
"368","NE","Keya Paha County",769,0,824,0,983,0,31103,0,0,0
"369","NE","Kimball County",3434,9,3821,6,4089,3,31105,0.262085032032615,0.157026956294164,0.0733675715333822
"370","NE","Knox County",8391,7,8701,6,9374,8,31107,0.0834227148134906,0.0689575910814849,0.0853424365265628
"371","NE","Lancaster County",322608,3472,285407,2851,250291,2860,31109,1.0762287358032,0.998924343131038,1.14266993219892
"372","NE","Lincoln County",34676,155,36288,59,34632,73,31111,0.446995039796978,0.162588183421517,0.210787710787711
"373","NE","Logan County",716,0,763,0,774,0,31113,0,0,0
"374","NE","Loup County",607,0,632,0,712,0,31115,0,0,0
"375","NE","McPherson County",399,0,539,0,533,0,31117,0,0,0
"376","NE","Madison County",35585,58,34876,68,35226,96,31119,0.162990023886469,0.194976488129373,0.272525975132005
"377","NE","Merrick County",7668,9,7845,10,8204,5,31121,0.117370892018779,0.127469725940089,0.060945880058508
"378","NE","Morrill County",4555,2,5042,4,5440,5,31123,0.0439077936333699,0.0793335977786593,0.0919117647058823
"379","NE","Nance County",3380,0,3735,0,4038,0,31125,0,0,0
"380","NE","Nemaha County",7074,13,7248,13,7576,4,31127,0.183771557817359,0.179359823399558,0.0527983104540655
"381","NE","Nuckolls County",4095,0,4500,0,5057,0,31129,0,0,0
"382","NE","Otoe County",15912,20,15740,11,15396,10,31131,0.12569130216189,0.0698856416772554,0.0649519355676799
"383","NE","Pawnee County",2544,0,2773,0,3087,0,31133,0,0,0
"384","NE","Perkins County",2858,0,2970,0,3200,0,31135,0,0,0
"385","NE","Phelps County",8968,25,9188,48,9747,1,31137,0.278768956289028,0.522420548541576,0.0102595670462706
"386","NE","Pierce County",7317,6,7266,12,7857,11,31139,0.0820008200082001,0.165152766308836,0.140002545500827
"387","NE","Platte County",34296,66,32237,110,31662,35,31141,0.192442267319804,0.341222818500481,0.11054260627882
"388","NE","Polk County",5214,2,5406,1,5639,3,31143,0.0383582662063675,0.0184979652238254,0.0532009221493173
"389","NE","Red Willow County",10702,197,11055,158,11448,3,31145,1.84077742478041,1.42921754862053,0.0262054507337526
"390","NE","Richardson County",7871,16,8363,6,9531,9,31147,0.203277855418625,0.0717445892622265,0.0944287063267233
"391","NE","Rock County",1262,0,1526,0,1756,0,31149,0,0,0
"392","NE","Saline County",14292,64,14200,83,13843,3,31151,0.447802966694654,0.584507042253521,0.0216716029762335
"393","NE","Sarpy County",190604,123,158840,155,122595,151,31153,0.0645316992298168,0.0975824729287333,0.123169786696032
"394","NE","Saunders County",22278,63,20780,109,19830,14,31155,0.282790196606518,0.524542829643888,0.0706001008572869
"395","NE","Scotts Bluff County",36084,225,36970,114,36951,43,31157,0.623545061523113,0.308358128212064,0.116370328272577
"396","NE","Seward County",17609,26,16750,18,16496,23,31159,0.147651768981771,0.107462686567164,0.139427740058196
"397","NE","Sheridan County",5127,13,5469,8,6198,21,31161,0.253559586502828,0.146279027244469,0.338818973862536
"398","NE","Sherman County",2959,0,3152,0,3318,0,31163,0,0,0
"399","NE","Sioux County",1135,0,1311,0,1475,0,31165,0,0,0
"400","NE","Stanton County",5842,0,6129,0,6455,0,31167,0,0,0
"401","NE","Thayer County",5034,0,5228,3,6055,0,31169,0,0.0573833205814843,0
"402","NE","Thomas County",669,0,647,0,729,0,31171,0,0,0
"403","NE","Thurston County",6773,31,6940,7,7171,15,31173,0.457699689945371,0.100864553314121,0.209175847162181
"404","NE","Valley County",4059,0,4260,5,4647,4,31175,0,0.117370892018779,0.0860770389498601
"405","NE","Washington County",20865,8,20234,23,18780,30,31177,0.0383417205847112,0.113670060294554,0.159744408945687
"406","NE","Wayne County",9697,0,9595,0,9851,0,31179,0,0,0
"407","NE","Webster County",3395,0,3812,5,4061,2,31181,0,0.131164742917104,0.049248953459739
"408","NE","Wheeler County",774,0,818,0,886,0,31183,0,0,0
"409","NE","York County",14125,304,13665,298,14598,206,31185,2.15221238938053,2.18075375045737,1.41115221263187
"410","ID","Ada County",494967,6357,392365,6401,300904,3848,16001,1.28432804611216,1.63138914021383,1.27881317629543
"411","ID","Adams County",4379,24,3976,19,3476,19,16003,0.548070335693081,0.477867203219316,0.546605293440736
"412","ID","Bannock County",87018,556,82839,557,75565,518,16005,0.638948263577651,0.672388609229952,0.685502547475683
"413","ID","Bear Lake County",6372,0,5986,0,6411,2,16007,0,0,0.0311963812197785
"414","ID","Benewah County",9530,8,9285,5,9171,24,16009,0.0839454354669465,0.053850296176629,0.261694471704285
"415","ID","Bingham County",47992,138,45607,115,41735,107,16011,0.287547924654109,0.252154274563115,0.256379537558404
"416","ID","Blaine County",24272,56,21376,0,18991,26,16013,0.23071852340145,0,0.136906955926491
"417","ID","Boise County",7610,0,7028,0,6670,4,16015,0,0,0.0599700149925037
"418","ID","Bonner County",47110,89,40877,95,36835,82,16017,0.188919549989387,0.232404530665166,0.222614361341116
"419","ID","Bonneville County",123964,514,104234,328,82522,362,16019,0.414636507373108,0.314676593050252,0.438670899881244
"420","ID","Boundary County",12056,10,10972,20,9871,15,16021,0.0829462508294625,0.1822821728035,0.151960287711478
"421","ID","Butte County",2574,4,2891,2,2899,5,16023,0.155400155400155,0.0691802144586648,0.17247326664367
"422","ID","Camas County",1077,0,1117,0,991,0,16025,0,0,0
"423","ID","Canyon County",231105,430,188923,802,131441,387,16027,0.186062612232535,0.424511573498198,0.294428679027092
"424","ID","Caribou County",7027,47,6963,47,7304,4,16029,0.668848726341255,0.674996409593566,0.0547645125958379
"425","ID","Cassia County",24655,128,22952,134,21416,119,16031,0.519164469681606,0.58382711746253,0.555659320134479
"426","ID","Clark County",790,1,982,0,1022,0,16033,0.126582278481013,0,0
"427","ID","Clearwater County",8734,582,8761,545,8930,511,16035,6.66361346462102,6.22075105581555,5.72228443449048
"428","ID","Custer County",4275,1,4368,9,4342,4,16037,0.0233918128654971,0.206043956043956,0.0921234454168586
"429","ID","Elmore County",28666,106,27038,94,29130,37,16039,0.369776041303286,0.347658850506694,0.127016821146584
"430","ID","Franklin County",14194,0,12786,0,11329,10,16041,0,0,0.088269044046253
"431","ID","Fremont County",13388,278,13242,253,11819,117,16043,2.07648640573648,1.91058752454312,0.989931466283103
"432","ID","Gem County",19123,37,16719,47,15181,24,16045,0.193484285938399,0.281117291704049,0.158092352282458
